id,name,description,support_memory_id,rarity
100011,ウーロンの願い[銅],特定のサポートメモリーの強化に必要,10001,0
100012,ウーロンの願い[銀],特定のサポートメモリーの強化に必要,10001,1
100013,ウーロンの願い[金],特定のサポートメモリーの強化に必要,10001,2
100014,ウーロンの願い[虹],特定のサポートメモリーの強化に必要,10001,3
100024,孫悟空の結婚[虹],特定のサポートメモリーの強化に必要,10002,3
100051,筋斗雲との出会い[銅],特定のサポートメモリーの強化に必要,10005,0
100052,筋斗雲との出会い[銀],特定のサポートメモリーの強化に必要,10005,1
100053,筋斗雲との出会い[金],特定のサポートメモリーの強化に必要,10005,2
100054,筋斗雲との出会い[虹],特定のサポートメモリーの強化に必要,10005,3
200011,怒りのフリーザ[銅],特定のサポートメモリーの強化に必要,20001,0
200012,怒りのフリーザ[銀],特定のサポートメモリーの強化に必要,20001,1
200013,怒りのフリーザ[金],特定のサポートメモリーの強化に必要,20001,2
200014,怒りのフリーザ[虹],特定のサポートメモリーの強化に必要,20001,3
200041,超サイヤ人を超えろ！[銅],特定のサポートメモリーの強化に必要,20004,0
200042,超サイヤ人を超えろ！[銀],特定のサポートメモリーの強化に必要,20004,1
200043,超サイヤ人を超えろ！[金],特定のサポートメモリーの強化に必要,20004,2
200044,超サイヤ人を超えろ！[虹],特定のサポートメモリーの強化に必要,20004,3
200081,奇妙な巡り合わせ[銅],特定のサポートメモリーの強化に必要,20008,0
200082,奇妙な巡り合わせ[銀],特定のサポートメモリーの強化に必要,20008,1
200083,奇妙な巡り合わせ[金],特定のサポートメモリーの強化に必要,20008,2
200084,奇妙な巡り合わせ[虹],特定のサポートメモリーの強化に必要,20008,3
200111,過去で築いた絆[銅],特定のサポートメモリーの強化に必要,20011,0
200112,過去で築いた絆[銀],特定のサポートメモリーの強化に必要,20011,1
200113,過去で築いた絆[金],特定のサポートメモリーの強化に必要,20011,2
200114,過去で築いた絆[虹],特定のサポートメモリーの強化に必要,20011,3
300011,シッポを引き出せ！[銅],特定のサポートメモリーの強化に必要,30001,0
300012,シッポを引き出せ！[銀],特定のサポートメモリーの強化に必要,30001,1
300013,シッポを引き出せ！[金],特定のサポートメモリーの強化に必要,30001,2
300014,シッポを引き出せ！[虹],特定のサポートメモリーの強化に必要,30001,3
300051,悟空が子供に！？[銅],特定のサポートメモリーの強化に必要,30005,0
300052,悟空が子供に！？[銀],特定のサポートメモリーの強化に必要,30005,1
300053,悟空が子供に！？[金],特定のサポートメモリーの強化に必要,30005,2
300054,悟空が子供に！？[虹],特定のサポートメモリーの強化に必要,30005,3
400011,初めてのてんぷら[銅],特定のサポートメモリーの強化に必要,40001,0
400012,初めてのてんぷら[銀],特定のサポートメモリーの強化に必要,40001,1
400013,初めてのてんぷら[金],特定のサポートメモリーの強化に必要,40001,2
400014,初めてのてんぷら[虹],特定のサポートメモリーの強化に必要,40001,3
400021,師弟の目指す先[銅],特定のサポートメモリーの強化に必要,40002,0
400022,師弟の目指す先[銀],特定のサポートメモリーの強化に必要,40002,1
400023,師弟の目指す先[金],特定のサポートメモリーの強化に必要,40002,2
400024,師弟の目指す先[虹],特定のサポートメモリーの強化に必要,40002,3
400034,全王のありがたいお言葉[虹],特定のサポートメモリーの強化に必要,40003,3
400041,姉弟の絆[銅],特定のサポートメモリーの強化に必要,40004,0
400042,姉弟の絆[銀],特定のサポートメモリーの強化に必要,40004,1
400043,姉弟の絆[金],特定のサポートメモリーの強化に必要,40004,2
400044,姉弟の絆[虹],特定のサポートメモリーの強化に必要,40004,3
400051,トランクスとマイの再会[銅],特定のサポートメモリーの強化に必要,40005,0
400052,トランクスとマイの再会[銀],特定のサポートメモリーの強化に必要,40005,1
400053,トランクスとマイの再会[金],特定のサポートメモリーの強化に必要,40005,2
400054,トランクスとマイの再会[虹],特定のサポートメモリーの強化に必要,40005,3
400081,絶対神の嘆き[銅],特定のサポートメモリーの強化に必要,40008,0
400082,絶対神の嘆き[銀],特定のサポートメモリーの強化に必要,40008,1
400083,絶対神の嘆き[金],特定のサポートメモリーの強化に必要,40008,2
400084,絶対神の嘆き[虹],特定のサポートメモリーの強化に必要,40008,3
500011,飛ばせハイヤードラゴン！[銅],特定のサポートメモリーの強化に必要,50001,0
500012,飛ばせハイヤードラゴン！[銀],特定のサポートメモリーの強化に必要,50001,1
500013,飛ばせハイヤードラゴン！[金],特定のサポートメモリーの強化に必要,50001,2
500014,飛ばせハイヤードラゴン！[虹],特定のサポートメモリーの強化に必要,50001,3
500034,カカロット[虹],特定のサポートメモリーの強化に必要,50003,3
500041,神次元への好奇心[銅],特定のサポートメモリーの強化に必要,50004,0
500042,神次元への好奇心[銀],特定のサポートメモリーの強化に必要,50004,1
500043,神次元への好奇心[金],特定のサポートメモリーの強化に必要,50004,2
500044,神次元への好奇心[虹],特定のサポートメモリーの強化に必要,50004,3
500051,あの世からの一撃[銅],特定のサポートメモリーの強化に必要,50005,0
500052,あの世からの一撃[銀],特定のサポートメモリーの強化に必要,50005,1
500053,あの世からの一撃[金],特定のサポートメモリーの強化に必要,50005,2
500054,あの世からの一撃[虹],特定のサポートメモリーの強化に必要,50005,3
500071,残酷な挑発[銅],特定のサポートメモリーの強化に必要,50007,0
500072,残酷な挑発[銀],特定のサポートメモリーの強化に必要,50007,1
500073,残酷な挑発[金],特定のサポートメモリーの強化に必要,50007,2
500074,残酷な挑発[虹],特定のサポートメモリーの強化に必要,50007,3
